,星座最配,排名,星座名,点评
0,白羊座最配,第一名,狮子座,星座爱情里，狮子注重自己的外表；甚至会有点自恋。不过，他会尽情满足你的浪漫及欲望。你俩将会是合拍的一对。狮子座对于人生持有乐观的看法。但是如果你太出风头，会让狮子座非常不满。虽然你们情投意合，但因你们彼此任性、个性倔强互不相让。一旦发生争执，就会酿成一场不可收拾的大风暴，即使相恋已久的情感，也会顿时冷却下来。
1,白羊座最配,第二名,射手座,两个火象星座的奇妙之旅。射手座的爱人可教授你这直性子的白羊艺术与文学。即使是外语的学习也能助你一臂之力，你们应该是一对快乐的恋人。由于你们彼此都能体会到地方的感受与魁力，应该有充满活力的交往。尤其是兴趣与运动方面，如能相同的话，步人结婚礼堂的可能性极大。
2,白羊座最配,第三名,双子座,彼此话题不断、无论是工作伙伴或是郊游对象都令你们感到愉悦，不厌倦。双子欣赏智慧、开朗、爽直的爱人，双子常常被你如太阳般明朗的个性所吸引。彼此的感觉不错，志趣相投，彼此对于流行情报或新信息的共识，更是促进你们进步发展的原动力。
3,金牛座最配,第一名,摩羯座,星座爱情里，两个同属土象星座的你们，不会有惊天动地狂风暴雨般的恋情，往往是细水长流，有如磁铁般紧密契合的满分组合。跟你一样，摩羯十分重视完全拥有对方。为了储蓄与家庭快乐，你们两人可取得相互协调，你的美丽与可敬，使摩羯安心。彼此对恋爱的忠诚度一致，使你们的爱情前途远大。摩羯可从你身上发现温柔与俏皮的一面，而你也能认同摩羯的真诚与可靠。
4,金牛座最配,第二名,处女座,追求纯真爱情的金牛座，与处女座乐于服务他人的个性极为适合。处女座信守双方的约定，使你安心不己。但是，你也必须避免出现孩子般的嫉妨心与占有欲。若能以成熟人的面貌与之交往的话，关系将会一帆风顺。
5,金牛座最配,第三名,巨蟹座,巨蟹座待人真挚，跟你一样很注重安全感，也有储蓄的习惯。巨蟹不会轻易流露真情。若到了可以信赖的地步，你将是他唯一值得吐露心事的人。同时，巨蟹也向往像你这种类型的人，而你也能积极地去接受巨蟹的温柔与体贴。一旦交往下去，如果没有非常严重的问题，可望步入结婚礼堂。
6,双子座最配,第一名,天秤座,同属风象星座们，无论工作或是恋爱，你们都能建立起良好的关系，艺术创作与交游方面更能取得协调。在事业上，你们可以达到合作无间的境界，也可以借此增进彼此的关系，获得相当高的契合度。天秤座可从交谈中感受到自己的梦想即将实现，而你只要和他在一起，就觉得未来充满光明和希望。若能具备经济基础，踏上红毯的可能性很大。
7,双子座最配,第二名,水瓶座,两个同属风象星座的你们，很容易会产生一种相知相惜的感觉，进而敞开心胸接纳对方，是开朗潇洒的组合。水瓶是天生聪明优秀的好学生或好老师，由擅长于流行信息、新闻、数理化、计算机，所以是个聪明绝顶的人物。双子的脑筋不停的动来动去，不断地从一个概念跳到另一个概念，你实在需要恒心和稳定，这点可吸取水瓶的能量，不只是爱情，在人际关系之中也是如此，因此水瓶是双子的绝配。
8,双子座最配,第三名,狮子座,风象双子的你和一个华丽贵气的狮子座，同样都是阳性星座，位置也相近，一般而言融通较易，是相互吸引又很相合的一对。狮子座跟你一样热爱社交生活。你应对狮子光明坦荡的气概与可信赖的态度深具好感。只是因为你们都有任性、独立、个性忽冷忽热的缺点，须特别注意。
9,巨蟹座最配,第一名,双鱼座,想像一下，巨蟹的月亮引起双鱼的海洋潮汐，鱼跟蟹似乎都很陶醉在一片汪洋大海，这是象征着彼此沉醉在深沉浓厚的感情重。但是水也能够代表着神秘的智慧，流向最深邃的灵性奥秘，在沉溺于鱼水之欢的同时，请不要忘了潜入智慧海洋的深处去寻宝。
